Frame,Inference_Type,Emotion,Inference_Time
0,Hardware,Unknown,0.10051512718200684
1,Hardware,Unknown,0.08652544021606445
2,Hardware,Unknown,0.09013700485229492
3,Hardware,Unknown,0.10615324974060059
4,Hardware,Unknown,0.10954523086547852
5,Hardware,Unknown,0.0721280574798584
6,Hardware,Unknown,0.07482171058654785
7,Hardware,Unknown,0.10716581344604492
8,Hardware,Unknown,0.10684323310852051
9,Hardware,Unknown,0.1043851375579834
10,Hardware,Unknown,0.08971500396728516
11,Hardware,Unknown,0.0752706527709961
12,Hardware,Unknown,0.07210040092468262
13,Hardware,Unknown,0.10805773735046387
14,Hardware,Unknown,0.17979073524475098
15,Hardware,Unknown,0.15308880805969238
16,Hardware,Unknown,0.25380420684814453
17,Hardware,Unknown,0.2069563865661621
18,Hardware,Unknown,0.21823644638061523
19,Hardware,Unknown,0.2393195629119873
20,Hardware,Unknown,0.24268007278442383
21,Hardware,Unknown,0.15594887733459473
22,Hardware,Unknown,0.17157316207885742
23,Hardware,Unknown,0.21329879760742188
24,Hardware,Unknown,0.20837879180908203
25,Hardware,Unknown,0.21153926849365234
26,Hardware,Unknown,0.19480419158935547
27,Hardware,Unknown,0.10807609558105469
28,Hardware,Unknown,0.10122323036193848
29,Hardware,Unknown,0.10492539405822754
30,Hardware,Unknown,0.09257197380065918
31,Hardware,Unknown,0.18799233436584473
32,Hardware,Unknown,0.19765710830688477
33,Hardware,Unknown,0.19779109954833984
34,Hardware,Unknown,0.19371747970581055
35,Hardware,Unknown,0.18721437454223633
36,Hardware,Unknown,0.17759490013122559
37,Hardware,Unknown,0.18626046180725098
38,Hardware,Unknown,0.2295665740966797
39,Hardware,Unknown,0.22855305671691895
40,Hardware,Unknown,0.17994427680969238
41,Hardware,Unknown,0.17911171913146973
42,Hardware,Unknown,0.15076518058776855
43,Hardware,Unknown,0.16646742820739746
44,Hardware,Unknown,0.1667618751525879
45,Hardware,Unknown,0.16829967498779297
46,Hardware,Unknown,0.17180204391479492
47,Hardware,Unknown,0.17374300956726074
48,Hardware,Unknown,0.19529390335083008
49,Hardware,Unknown,0.15379118919372559
50,Hardware,Unknown,0.140549898147583
51,Hardware,Unknown,0.14893817901611328
52,Hardware,Unknown,0.16982221603393555
53,Hardware,Unknown,0.24386143684387207
54,Hardware,Unknown,0.24670958518981934
55,Hardware,Unknown,0.24193811416625977
56,Hardware,Unknown,0.2428755760192871
57,Hardware,Unknown,0.24420452117919922
58,Hardware,Unknown,0.16496944427490234
59,Hardware,Unknown,0.16651177406311035
60,Hardware,Unknown,0.19314956665039062
61,Hardware,Unknown,0.1090998649597168
62,Hardware,Unknown,0.10180902481079102
63,Hardware,Unknown,0.11121106147766113
64,Hardware,Unknown,0.15178799629211426
65,Hardware,Unknown,0.1688685417175293
66,Hardware,Unknown,0.164625883102417
67,Hardware,Unknown,0.16779327392578125
68,Hardware,Unknown,0.1662900447845459
69,Hardware,Unknown,0.16255974769592285
70,Hardware,Unknown,0.18108510971069336
71,Hardware,Unknown,0.1858363151550293
72,Hardware,Unknown,0.20540380477905273
73,Hardware,Unknown,0.2568366527557373
74,Hardware,Unknown,0.2458193302154541
75,Hardware,Unknown,0.24123477935791016
76,Hardware,Unknown,0.2483510971069336
77,Hardware,Unknown,0.14071249961853027
78,Hardware,Unknown,0.09252023696899414
79,Hardware,Unknown,0.08045148849487305
80,Hardware,Unknown,0.08749771118164062
81,Hardware,Unknown,0.07554101943969727
82,Hardware,Unknown,0.09302568435668945
83,Hardware,Unknown,0.15383601188659668
84,Hardware,Unknown,0.10295772552490234
85,Hardware,Unknown,0.07676053047180176
86,Hardware,Unknown,0.1638171672821045
87,Hardware,Unknown,0.20937585830688477
88,Hardware,Unknown,0.2120649814605713
89,Hardware,Unknown,0.1890428066253662
90,Hardware,Unknown,0.1712360382080078
91,Hardware,Unknown,0.16664981842041016
92,Hardware,Unknown,0.25209546089172363
93,Hardware,Unknown,0.20511674880981445
94,Hardware,Unknown,0.16739869117736816
95,Hardware,Unknown,0.15729737281799316
96,Hardware,Unknown,0.17893242835998535
97,Hardware,Unknown,0.20079803466796875
98,Hardware,Unknown,0.1933455467224121
99,Hardware,Unknown,0.17900824546813965
